UniProt1,UniProt2,symbol1,symbol2
P10275,B4E1C1,AR,
P10275,O00459,AR,PIK3R2
P10275,O14543,AR,SOCS3
P10275,O14544,AR,SOCS6
P10275,O14595,AR,CTDSP2
P10275,O14672,AR,ADAM10
P10275,O14686,AR,KMT2D
P10275,O14796,AR,SH2D1B
P10275,O14976,AR,GAK
P10275,O15164,AR,TRIM24
P10275,O15357,AR,INPPL1
P10275,O15379,AR,HDAC3
P10275,O15393,AR,TMPRSS2
P10275,O15550,AR,KDM6A
P10275,O43255,AR,SIAH2
P10275,O43293,AR,DAPK3
P10275,O43294,AR,TGFB1I1
P10275,O43680,AR,TCF21
P10275,O43711,AR,TLX3
P10275,O43791,AR,SPOP
P10275,O60244,AR,MED14
P10275,O60341,AR,KDM1A
P10275,O60880,AR,SH2D1A
P10275,O60885,AR,BRD4
P10275,O75150,AR,RNF40
P10275,O75164,AR,KDM4A
P10275,O75182,AR,SIN3B
P10275,O75317,AR,USP12
P10275,O75376,AR,NCOR1
P10275,O75448,AR,MED24
P10275,O75528,AR,TADA3
P10275,O75530,AR,EED
P10275,O75593,AR,FOXH1
P10275,O75791,AR,GRAP2
P10275,O75925,AR,PIAS1
P10275,O75928,AR,PIAS2
P10275,O94906,AR,PRPF6
P10275,O94916,AR,NFAT5
P10275,O95238,AR,SPDEF
P10275,O95251,AR,KAT7
P10275,O95365,AR,ZBTB7A
P10275,O95425,AR,SVIL
P10275,O96028,AR,NSD2
P10275,P00519,AR,ABL1
P10275,P00533,AR,EGFR
P10275,P01100,AR,FOS
P10275,P01137,AR,TGFB1
P10275,P03372,AR,ESR1
P10275,P04049,AR,RAF1
P10275,P04150,AR,NR3C1
P10275,P04406,AR,GAPDH
P10275,P04637,AR,TP53
P10275,P05412,AR,JUN
P10275,P05771,AR,PRKCB
P10275,P06239,AR,LCK
P10275,P06396,AR,GSN
P10275,P06400,AR,RB1
P10275,P06493,AR,CDK1
P10275,P07288,AR,KLK3
P10275,P07332,AR,FES
P10275,P07900,AR,HSP90AA1
P10275,P07947,AR,YES1
P10275,P07948,AR,LYN
P10275,P08047,AR,SP1
P10275,P08107,AR,HSPA1A
P10275,P08235,AR,NR3C2
P10275,P08238,AR,HSP90AB1
P10275,P08631,AR,HCK
P10275,P09086,AR,POU2F2
P10275,P09429,AR,HMGB1
P10275,P09769,AR,FGR
P10275,P09874,AR,PARP1
P10275,P0CG48,AR,UBC
P10275,P10275,AR,AR
P10275,P10606,AR,COX5B
P10275,P10914,AR,IRF1
P10275,P11021,AR,HSPA5
P10275,P11308,AR,ERG
P10275,P12235,AR,SLC25A4
P10275,P12931,AR,SRC
P10275,P12956,AR,XRCC6
P10275,P13010,AR,XRCC5
P10275,P13056,AR,NR2C1
P10275,P13984,AR,GTF2F2
P10275,P14735,AR,IDE
P10275,P14859,AR,POU2F1
P10275,P14921,AR,ETS1
P10275,P15336,AR,ATF2
P10275,P15498,AR,VAV1
P10275,P15884,AR,TCF4
P10275,P15923,AR,TCF3
P10275,P16885,AR,PLCG2
P10275,P17535,AR,JUND
P10275,P17676,AR,CEBPB
P10275,P17980,AR,PSMC3
P10275,P18074,AR,ERCC2
P10275,P18146,AR,EGR1
P10275,P19174,AR,PLCG1
P10275,P19447,AR,ERCC3
P10275,P19838,AR,NFKB1
P10275,P20151,AR,KLK2
P10275,P20226,AR,TBP
P10275,P20711,AR,DDC
P10275,P20794,AR,MAK
P10275,P20936,AR,RASA1
P10275,P21333,AR,FLNA
P10275,P21675,AR,TAF1
P10275,P23246,AR,SFPQ
P10275,P23760,AR,PAX3
P10275,P23771,AR,GATA3
P10275,P24385,AR,CCND1
P10275,P24864,AR,CCNE1
P10275,P25440,AR,BRD2
P10275,P26367,AR,PAX6
P10275,P26583,AR,HMGB2
P10275,P27348,AR,YWHAQ
P10275,P27797,AR,CALR
P10275,P27986,AR,PIK3R1
P10275,P28482,AR,MAPK1
P10275,P28749,AR,RBL1
P10275,P29353,AR,SHC1
P10275,P29466,AR,CASP1
P10275,P30304,AR,CDC25A
P10275,P30305,AR,CDC25B
P10275,P30613,AR,PKLR
P10275,P31749,AR,AKT1
P10275,P32780,AR,GTF2H1
P10275,P35222,AR,CTNNB1
P10275,P35226,AR,BMI1
P10275,P35232,AR,PHB1
P10275,P35269,AR,GTF2F1
P10275,P35609,AR,ACTN2
P10275,P35869,AR,AHR
P10275,P36956,AR,SREBF1
P10275,P38398,AR,BRCA1
P10275,P40189,AR,IL6ST
P10275,P40337,AR,VHL
P10275,P40763,AR,STAT3
P10275,P41161,AR,ETV5
P10275,P41235,AR,HNF4A
P10275,P41252,AR,IARS1
P10275,P42574,AR,CASP3
P10275,P42679,AR,MATK
P10275,P42684,AR,ABL2
P10275,P43146,AR,DCC
P10275,P43364,AR,MAGEA11
P10275,P43405,AR,SYK
P10275,P43694,AR,GATA4
P10275,P46100,AR,ATRX
P10275,P46108,AR,CRK
P10275,P48552,AR,NRIP1
P10275,P49023,AR,PXN
P10275,P49116,AR,NR2C2
P10275,P49715,AR,CEBPA
P10275,P49840,AR,GSK3A
P10275,P49841,AR,GSK3B
P10275,P50613,AR,CDK7
P10275,P50750,AR,CDK9
P10275,P51398,AR,DAP3
P10275,P51451,AR,BLK
P10275,P51531,AR,SMARCA2
P10275,P51532,AR,SMARCA4
P10275,P51843,AR,NR0B1
P10275,P51946,AR,CCNH
P10275,P52735,AR,VAV2
P10275,P53041,AR,PPP5C
P10275,P55072,AR,VCP
P10275,P55210,AR,CASP7
P10275,P55317,AR,FOXA1
P10275,P55854,AR,SUMO3
P10275,P56524,AR,HDAC4
P10275,P60484,AR,PTEN
P10275,P60709,AR,ACTB
P10275,P60763,AR,RAC3
P10275,P61201,AR,COPS2
P10275,P61956,AR,SUMO2
P10275,P62158,AR,CALM1
P10275,P62826,AR,RAN
P10275,P62993,AR,GRB2
P10275,P63165,AR,SUMO1
P10275,P63244,AR,RACK1
P10275,P63279,AR,UBE2I
P10275,P78317,AR,RNF4
P10275,P78527,AR,PRKDC
P10275,P78543,AR,BTG2
P10275,P82094,AR,TMF1
P10275,P84022,AR,SMAD3
P10275,Q00534,AR,CDK6
P10275,Q00987,AR,MDM2
P10275,Q01094,AR,E2F1
P10275,Q01196,AR,RUNX1
P10275,Q01534,AR,TSPY1
P10275,Q01860,AR,POU5F1
P10275,Q02548,AR,PAX5
P10275,Q02790,AR,FKBP4
P10275,Q03135,AR,CAV1
P10275,Q03164,AR,KMT2A
P10275,Q03989,AR,ARID5A
P10275,Q04206,AR,RELA
P10275,Q04609,AR,FOLH1
P10275,Q04864,AR,REL
P10275,Q04917,AR,YWHAH
P10275,Q05066,AR,SRY
P10275,Q05086,AR,UBE3A
P10275,Q05516,AR,ZBTB16
P10275,Q05823,AR,RNASEL
P10275,Q06124,AR,PTPN11
P10275,Q06187,AR,BTK
P10275,Q06830,AR,PRDX1
P10275,Q07912,AR,TNK2
P10275,Q08117,AR,TLE5
P10275,Q08752,AR,PPID
P10275,Q09472,AR,EP300
P10275,Q12756,AR,KIF1A
P10275,Q12778,AR,FOXO1
P10275,Q12796,AR,PNRC1
P10275,Q13228,AR,SELENBP1
P10275,Q13285,AR,NR5A1
P10275,Q13309,AR,SKP2
P10275,Q13451,AR,FKBP5
P10275,Q13485,AR,SMAD4
P10275,Q13501,AR,SQSTM1
P10275,Q13547,AR,HDAC1
P10275,Q13569,AR,TDG
P10275,Q13617,AR,CUL2
P10275,Q13620,AR,CUL4B
P10275,Q13772,AR,NCOA4
P10275,Q13882,AR,PTK6
P10275,Q13888,AR,GTF2H2
P10275,Q13889,AR,GTF2H3
P10275,Q13950,AR,RUNX2
P10275,Q14192,AR,FHL2
P10275,Q14451,AR,GRB7
P10275,Q14686,AR,NCOA6
P10275,Q14694,AR,USP10
P10275,Q14790,AR,CASP8
P10275,Q15020,AR,SART3
P10275,Q15022,AR,SUZ12
P10275,Q15059,AR,BRD3
P10275,Q15185,AR,PTGES3
P10275,Q15233,AR,NONO
P10275,Q15464,AR,SHB
P10275,Q15466,AR,NR0B2
P10275,Q15583,AR,TGIF1
P10275,Q15596,AR,NCOA2
P10275,Q15648,AR,MED1
P10275,Q15650,AR,TRIP4
P10275,Q15652,AR,JMJD1C
P10275,Q15788,AR,NCOA1
P10275,Q15797,AR,SMAD1
P10275,Q15910,AR,EZH2
P10275,Q16082,AR,HSPB2
P10275,Q16254,AR,E2F4
P10275,Q16526,AR,CRY1
P10275,Q16543,AR,CDC37
P10275,Q16665,AR,HIF1A
P10275,Q16666,AR,IFI16
P10275,Q58WW2,AR,DCAF6
P10275,Q5MNZ9,AR,WIPI1
P10275,Q5THR3,AR,EFCAB6
P10275,Q5VTR2,AR,RNF20
P10275,Q5VTY9,AR,HHAT
P10275,Q5VUA4,AR,ZNF318
P10275,Q5VZ18,AR,SHE
P10275,Q6AZZ1,AR,TRIM68
P10275,Q6B0I6,AR,KDM4D
P10275,Q6IQ26,AR,DENND5A
P10275,Q6S5L8,AR,SHC4
P10275,Q6ZRS2,AR,SRCAP
P10275,Q86W26,AR,NLRP10
P10275,Q86YW9,AR,MED12L
P10275,Q8IXH7,AR,NELFCD
P10275,Q8IXJ9,AR,ASXL1
P10275,Q8IZL8,AR,PELP1
P10275,Q8IZW8,AR,TNS4
P10275,Q8N0Z6,AR,TTC5
P10275,Q8N2W9,AR,PIAS4
P10275,Q8N5H7,AR,SH2D3C
P10275,Q8NF64,AR,ZMIZ2
P10275,Q8NFH8,AR,REPS2
P10275,Q8TAE8,AR,GADD45GIP1
P10275,Q8WTS6,AR,SETD7
P10275,Q8WUI4,AR,HDAC7
P10275,Q8WV28,AR,BLNK
P10275,Q8WXF1,AR,PSPC1
P10275,Q92466,AR,DDB2
P10275,Q92529,AR,SHC3
P10275,Q92569,AR,PIK3R3
P10275,Q92624,AR,APPBP2
P10275,Q92731,AR,ESR2
P10275,Q92766,AR,RREB1
P10275,Q92769,AR,HDAC2
P10275,Q92793,AR,CREBBP
P10275,Q92831,AR,KAT2B
P10275,Q92845,AR,KIFAP3
P10275,Q92922,AR,SMARCC1
P10275,Q92993,AR,KAT5
P10275,Q969G3,AR,SMARCE1
P10275,Q969W9,AR,PMEPA1
P10275,Q96EB6,AR,SIRT1
P10275,Q96GM5,AR,SMARCD1
P10275,Q96JN0,AR,LCOR
P10275,Q96JZ2,AR,HSH2D
P10275,Q96L73,AR,NSD1
P10275,Q96PM5,AR,RCHY1
P10275,Q96S59,AR,RANBP9
P10275,Q96ST3,AR,SIN3A
P10275,Q99496,AR,RNF2
P10275,Q99497,AR,PARK7
P10275,Q99615,AR,DNAJC7
P10275,Q99638,AR,RAD9A
P10275,Q99743,AR,NPAS2
P10275,Q99816,AR,TSG101
P10275,Q99873,AR,PRMT1
P10275,Q99933,AR,BAG1
P10275,Q9BQA1,AR,WDR77
P10275,Q9BQG0,AR,MYBBP1A
P10275,Q9BXU7,AR,USP26
P10275,Q9BZK7,AR,TBL1XR1
P10275,Q9H3R0,AR,KDM4C
P10275,Q9H422,AR,HIPK3
P10275,Q9HBE1,AR,PATZ1
P10275,Q9HBL0,AR,TNS1
P10275,Q9HCK8,AR,CHD8
P10275,Q9NP31,AR,SH2D2A
P10275,Q9NPJ4,AR,PNRC2
P10275,Q9NQU5,AR,PAK6
P10275,Q9NRM7,AR,LATS2
P10275,Q9NSA3,AR,CTNNBIP1
P10275,Q9NU22,AR,MDN1
P10275,Q9NXR1,AR,NDE1
P10275,Q9NY61,AR,AATF
P10275,Q9NYJ8,AR,TAB2
P10275,Q9NYW8,AR,RBAK
P10275,Q9P2W1,AR,PSMC3IP
P10275,Q9UBK9,AR,UXT
P10275,Q9UBL3,AR,ASH2L
P10275,Q9UBS8,AR,RNF14
P10275,Q9UER7,AR,DAXX
P10275,Q9UGL1,AR,KDM5B
P10275,Q9UGU0,AR,TCF20
P10275,Q9UHC1,AR,MLH3
P10275,Q9UKG1,AR,APPL1
P10275,Q9UKW4,AR,VAV3
P10275,Q9ULJ6,AR,ZMIZ1
P10275,Q9ULZ2,AR,STAP1
P10275,Q9UNE7,AR,STUB1
P10275,Q9UQ80,AR,PA2G4
P10275,Q9Y252,AR,RNF6
P10275,Q9Y265,AR,RUVBL1
P10275,Q9Y2I1,AR,NISCH
P10275,Q9Y2K1,AR,ZBTB1
P10275,Q9Y2Y4,AR,ZBTB32
P10275,Q9Y3R0,AR,GRIP1
P10275,Q9Y4B4,AR,RAD54L2
P10275,Q9Y4C1,AR,KDM3A
P10275,Q9Y4E5,AR,ZNF451
P10275,Q9Y618,AR,NCOR2
P10275,Q9Y6Q9,AR,NCOA3
P10275,Q9Y6X2,AR,PIAS3