LID,ID,Year,Sex,RID_date,rna_conc,RQN,LID_date,LID_conc
LID_103738,2017_001,2017,M,7/4/19,45.2,8.6,7/23/19,4.22
LID_103739,2017_VIO,2017,F,7/5/19,28.8,1.8,7/23/19,1.95
LID_103740,2017_DEM,2017,M,7/5/19,30,8.5,7/23/19,7.28
LID_103741,2017_BUM,2017,M,7/5/19,33.8,8.2,7/23/19,8.42
LID_103742,2017_MOI,2017,F,7/5/19,61,8.6,7/23/19,6.54
LID_103743,2017_OTA,2017,M,7/5/19,19.9,8.8,7/23/19,2.98
LID_103744,2017_PIP,2017,M,7/5/19,34.2,8.5,7/23/19,6.62
LID_103745,2017_JOO,2017,F,7/5/19,45.4,7.7,7/23/19,5.5
LID_103746,2017_017,2017,M,7/5/19,39.8,10,7/23/19,7.08
LID_103747,2017_018,2017,M,7/8/19,44.6,8.2,7/23/19,3.82
LID_103748,2017_DEL,2017,F,7/8/19,168,9.3,7/23/19,4.62
LID_103749,2017_DIX,2017,F,7/8/19,69.2,10,7/23/19,4.4
LID_103750,2019_03,2019,F,7/8/19,78.4,9.7,7/23/19,4.9
LID_103751,2019_05,2019,F,7/8/19,45.4,8.7,7/23/19,4.3
LID_103752,2019_08,2019,M,7/8/19,58,8.6,7/23/19,7.84
LID_103753,2019_12,2019,F,7/8/19,51,9.1,7/23/19,9.38
LID_103754,2019_13,2019,F,7/8/19,80.4,8.4,7/24/19,7.38
LID_103755,2019_14,2019,M,7/9/19,33.6,8.8,7/24/19,8.34
LID_103756,2019_15,2019,F,7/9/19,84.8,6.9,7/24/19,8.52
LID_103757,2019_16,2019,F,7/9/19,16.6,10,7/24/19,5.86
LID_103758,2019_19,2019,M,7/9/19,42.6,10,7/24/19,8.58
LID_103759,2019_20,2019,M,7/9/19,51.6,4.7,7/24/19,11.1
LID_103760,2019_21,2019,F,7/9/19,142,9.4,7/24/19,7.66
LID_103762,2019_23,2019,M,7/9/19,73.8,9.1,7/24/19,2.4
LID_103763,2019_24,2019,M,7/10/19,49.2,8.3,7/24/19,3.5
LID_103764,2019_25,2019,M,7/10/19,37,9.1,7/26/19,7.76
LID_103765,2019_26,2019,M,7/10/19,37.8,10,7/26/19,4.32
LID_103766,2019_27,2019,M,7/10/19,54,9.6,7/26/19,10.7
LID_103767,2019_28,2019,F,7/10/19,106,9.1,7/26/19,5.92
LID_103769,2019_32,2019,M,7/10/19,32.4,8.8,7/26/19,12
LID_103770,2019_22,2019,F,7/9/19,546,9.8,7/26/19,6.34
LID_103771,2017_TAF,2017,F,7/1/19,59.8,9.2,7/27/19,4.66
LID_103772,2017_CLO,2017,F,7/4/19,64.8,9.9,7/27/19,4.4
LID_103773,2017_JOK,2017,M,7/4/19,64.8,10,7/27/19,2.82
LID_103774,2017_DAL,2017,M,7/4/19,51.2,9.4,7/27/19,4.94
LID_103775,2019_29,2019,F,7/10/19,148,9.5,7/27/19,3.62
LID_103776,2019_30,2019,M,7/10/19,9.68,9.9,7/27/19,1.91
LID_103777,2019_31,2019,M,7/10/19,35.4,8.5,7/27/19,3.84