id,rg,camera_brand,model,sex
BEN,1.681756528,sony,DSC-H7,M
BEN,1.337539767,nikon,E8700,M
BEN,1.471746497,sony,DSC-H7,M
BUB,1.650538406,nikon,E8700,M
BEN,1.292460746,nikon,E8700,M
BUB,1.75751338,nikon,E8700,M
BUB,1.433145009,nikon,E8700,M
DEV,1.583814253,nikon,D40X,M
DEV,1.46935598,nikon,E8700,M
DIK,1.643818375,nikon,D60,M
NIK,1.785938975,nikon,E8700,M
DIK,1.540986682,nikon,D60,M
DJI,1.533408149,nikon,D40X,M
DUB,1.492724945,nikon,E8700,M
DUB,1.349940796,nikon,E8700,M
FRA,1.98538206,nikon,E8700,M
FRA,1.487993139,nikon,E8700,M
FRA,1.285605318,nikon,E8700,M
HOU,1.719560574,sony,DSC-H7,M
NAF,1.546315159,sony,DSC-H7,M
FRA,1.484490609,nikon,E8700,M
HOU,1.364363778,sony,DSC-H7,M
HUX,2.701429006,nikon,D40X,M
ZEU,1.395291862,nikon,E8700,M
LEB,1.367307193,nikon,E8700,M
HOU,1.461393179,nikon,D60,M
HUX,1.45501483,sony,DSC-H7,M
DEV,1.577455919,sony,DSC-H7,M
HUX,1.574265853,nikon,E8700,M
SAA,1.540300871,nikon,E8700,M
BEN,1.565426357,nikon,E8700,M
HUX,1.459472961,sony,DSC-H7,M
ITC,1.450153161,nikon,E8700,M
ITC,1.694608521,nikon,E8700,M
ZEU,1.464695359,nikon,E8700,M
BEN,1.670932358,nikon,E8700,M
HOU,1.516689373,nikon,E8700,M
KNU,1.536562427,nikon,E8700,M
KNU,2.407106991,nikon,D60,M
KNU,1.356119436,sony,DSC-H7,M
HOU,1.714264663,sony,DSC-H7,M
WEB,1.667443215,sony,DSC-H7,M
LEB,1.524579048,nikon,E8700,M
LEB,1.247221158,nikon,E8700,M
MOB,3.084428924,nikon,D60,M
MOB,1.792290988,nikon,D60,M
WEB,1.696280751,sony,DSC-H7,M
NAF,1.677913152,nikon,E8700,M
NAF,1.456041257,nikon,D60,M
NIK,1.810152653,nikon,D60,M
SAW,1.486324686,nikon,E8700,M
NIK,1.447802198,nikon,E8700,M
OLA,1.707181753,nikon,D60,M
OLA,1.492674166,nikon,D40X,M
RWA,1.52884501,nikon,E8700,M
RWA,1.42871324,nikon,E8700,M
SAA,1.540540541,nikon,E8700,M
SAA,1.37394669,nikon,D40X,M
SAW,1.6108,nikon,D60,M
RWA,1.483948636,nikon,E8700,M
SAW,1.371077763,nikon,E8700,M
SON,1.756712863,nikon,D60,M
SON,1.614644153,nikon,E8700,M
SAW,1.4857167,nikon,D60,M
SPO,1.514407684,nikon,E8700,M
SPO,1.424525316,nikon,E8700,M
WAY,1.987187404,nikon,E8700,M
WAY,1.904007987,nikon,E8700,M
WEB,1.734635677,sony,DSC-H7,M
WEB,1.460501369,sony,DSC-H7,M
OLA,1.660109983,nikon,D60,M
WEB,1.653213125,nikon,D60,M
ZEU,1.537760137,nikon,E8700,M
ZEU,1.267899761,nikon,E8700,M
COO,1.470795979,sony,DSC-H7,F
COO,1.545952445,sony,DSC-H7,F
COO,1.489900801,sony,DSC-H7,F
COO,1.461324042,sony,DSC-H7,F
COO,1.493764947,sony,DSC-H7,F
DEL,1.602148156,sony,DSC-H7,F
DEL,1.512536351,sony,DSC-H7,F
VAL,1.883529907,sony,DSC-H7,F
CAL,1.244016428,sony,DSC-H7,F
CAL,1.361174851,sony,DSC-H7,F
CAL,1.558568777,sony,DSC-H7,F
CAL,1.403368156,sony,DSC-H7,F
CAR,1.837900536,sony,DSC-H7,F
CAR,1.304458408,sony,DSC-H7,F
CAR,1.410183876,sony,DSC-H7,F
CAR,1.450336333,sony,DSC-H7,F
CAR,1.414574101,sony,DSC-H7,F
COO,1.372597763,sony,DSC-H7,F
COO,1.551779076,sony,DSC-H7,F
COO,1.506860481,sony,DSC-H7,F
COO,1.531737435,sony,DSC-H7,F
COO,1.419069267,sony,DSC-H7,F
DEL,1.8026534,sony,DSC-H7,F
DEL,1.789758595,sony,DSC-H7,F
DEL,1.656322134,sony,DSC-H7,F
DEL,1.617079312,sony,DSC-H7,F
DEL,1.901122559,sony,DSC-H7,F
DEL,1.787446307,sony,DSC-H7,F
VAL,1.72553666,sony,DSC-H7,F
VAL,1.527777778,sony,DSC-H7,F
VAL,1.604225659,sony,DSC-H7,F
VER,1.446155757,sony,DSC-H7,F
VER,1.360333589,sony,DSC-H7,F
COL,1.319692392,sony,DSC-H7,F
COL,1.309369428,sony,DSC-H7,F
CAL,1.436831979,sony,DSC-H7,F
CAL,1.630589609,sony,DSC-H7,F
CAL,1.248403285,nikon,E8700,F
CAL,1.468547973,sony,DSC-H7,F
CAR,1.450475046,sony,DSC-H7,F
CAR,1.59009596,sony,DSC-H7,F
CAR,1.631128616,sony,DSC-H7,F
CAR,1.3748307,sony,DSC-H7,F
CAR,1.408529505,sony,DSC-H7,F
CEE,1.486883408,sony,DSC-H7,F
CEE,1.359405192,sony,DSC-H7,F
CEE,1.314359638,nikon,E8700,F
CEE,1.526965321,sony,DSC-H7,F
CEE,1.54620796,sony,DSC-H7,F
COC,1.526341169,sony,DSC-H7,F
COC,1.408764295,sony,DSC-H7,F
COC,1.720952726,nikon,E8700,F
COC,1.655312889,nikon,E8700,F
COC,1.410902074,sony,DSC-H7,F
COC,1.351341585,sony,DSC-H7,F
COO,1.517694524,sony,DSC-H7,F
COO,1.635411344,sony,DSC-H7,F
COO,1.581480546,sony,DSC-H7,F
COO,1.485094851,nikon,E8700,F
COO,1.619442143,sony,DSC-H7,F
COO,1.592640082,sony,DSC-H7,F
COR,1.521677783,sony,DSC-H7,F
COR,1.42577712,nikon,E8700,F
COR,1.635751902,sony,DSC-H7,F
KAR,1.387428056,sony,DSC-H7,F
KAR,1.378997987,sony,DSC-H7,F
KEE,1.558327804,sony,DSC-H7,F
KEE,1.407020764,sony,DSC-H7,F
KIM,1.290830946,sony,DSC-H7,F
KIM,1.382423798,sony,DSC-H7,F